2025-07-03 02:01:56.936406,EXIT,SHORT,108839.0,188.0000000000291,23,1243.83,13112.32
2025-07-03 02:05:07.021313,ENTRY,LONG,108969.75,,,1243.83,13112.32
2025-07-03 02:05:20.501622,EXIT,LONG,108989.32,97.85000000003492,8,1139.36,14293.14
2025-07-03 02:05:59.467390,ENTRY,SHORT,108920.0,,,1139.36,14293.14
2025-07-03 02:19:56.581468,EXIT,SHORT,108832.57,437.1499999999651,832,1158.29,40779.81
2025-07-03 02:20:04.422430,ENTRY,LONG,108836.94,,,1158.29,40779.81
2025-07-03 02:20:15.677811,EXIT,LONG,108865.37,142.14999999996508,6,1178.89,42638.28
2025-07-03 02:34:38.032607,ENTRY,SHORT,108773.95,,,1178.89,42638.28
2025-07-03 02:34:43.376257,EXIT,SHORT,108767.41,32.699999999967986,0,1055.34,43121.53
2025-07-03 02:51:27.003306,EXIT,SHORT,109009.09,186.7500000000291,87,1504.5221078291931
2025-07-03 03:05:22.252748,EXIT,LONG,108906.01,281.2999999999738,86,1091.457014374965
2025-07-03 03:09:10.568866,EXIT,LONG,108959.99,170.60000000004948,222,1713.6926676252253
2025-07-03 03:13:08.541628,EXIT,LONG,108950.0,95.55000000000291,143,1904.7926676252312
2025-07-03 03:21:26.849584,EXIT,LONG,109007.06,132.44999999995343,37,2271.146292625103
2025-07-03 05:52:46.380563,ENTRY,LONG,108703.14,,,100.0
2025-07-03 05:55:20.416496,EXIT,LONG,108685.32,-89.09999999996217,154,10.900000000037835
2025-07-03 06:20:45.343243,ENTRY,SHORT,108906.5,,,100.0
2025-07-03 06:22:37.828791,EXIT,SHORT,108938.12,-158.09999999997672,112,-58.09999999997672
